Id2,Geography,Estimate; Total Number of Housing Units,Margin of Error; Total
6037238100,"Census Tract 2381, Los Angeles County, California",1805,49
6037238200,"Census Tract 2382, Los Angeles County, California",2347,78
6037238310,"Census Tract 2383.10, Los Angeles County, California",1675,43
6037238320,"Census Tract 2383.20, Los Angeles County, California",1301,77
6037238400,"Census Tract 2384, Los Angeles County, California",1773,75
6037239200,"Census Tract 2392, Los Angeles County, California",1902,51
6037239310,"Census Tract 2393.10, Los Angeles County, California",696,53
6037239320,"Census Tract 2393.20, Los Angeles County, California",821,40
6037239330,"Census Tract 2393.30, Los Angeles County, California",703,34
6037239500,"Census Tract 2395, Los Angeles County, California",1799,72
6037239600,"Census Tract 2396, Los Angeles County, California",1540,51
6037239700,"Census Tract 2397, Los Angeles County, California",1778,44
6037239800,"Census Tract 2398, Los Angeles County, California",2250,70
6037240010,"Census Tract 2400.10, Los Angeles County, California",959,76
6037240020,"Census Tract 2400.20, Los Angeles County, California",1307,33
6037240200,"Census Tract 2402, Los Angeles County, California",1693,51
6037240300,"Census Tract 2403, Los Angeles County, California",1890,48
6037240400,"Census Tract 2404, Los Angeles County, California",1814,61
6037240500,"Census Tract 2405, Los Angeles County, California",1955,48
6037240600,"Census Tract 2406, Los Angeles County, California",1300,45
6037240700,"Census Tract 2407, Los Angeles County, California",1650,43
6037240800,"Census Tract 2408, Los Angeles County, California",1102,56
6037240900,"Census Tract 2409, Los Angeles County, California",1396,44
6037241000,"Census Tract 2410, Los Angeles County, California",1892,56
6037241110,"Census Tract 2411.10, Los Angeles County, California",827,45
6037241120,"Census Tract 2411.20, Los Angeles County, California",1697,61
6037241200,"Census Tract 2412, Los Angeles County, California",1657,24
6037241300,"Census Tract 2413, Los Angeles County, California",921,49
6037241400,"Census Tract 2414, Los Angeles County, California",1272,49
6037242000,"Census Tract 2420, Los Angeles County, California",987,46
6037242100,"Census Tract 2421, Los Angeles County, California",751,28
6037242200,"Census Tract 2422, Los Angeles County, California",1646,25
6037242300,"Census Tract 2423, Los Angeles County, California",1142,42
6037242600,"Census Tract 2426, Los Angeles County, California",1272,45
6037242700,"Census Tract 2427, Los Angeles County, California",1223,52
6037243000,"Census Tract 2430, Los Angeles County, California",1380,50
6037243100,"Census Tract 2431, Los Angeles County, California",1398,38
6037261101,"Census Tract 2611.01, Los Angeles County, California",1862,42
6037261102,"Census Tract 2611.02, Los Angeles County, California",1828,41
6037261200,"Census Tract 2612, Los Angeles County, California",1913,54
6037262100,"Census Tract 2621, Los Angeles County, California",1391,84
6037262200,"Census Tract 2622, Los Angeles County, California",1932,49
6037262301,"Census Tract 2623.01, Los Angeles County, California",924,47
6037262302,"Census Tract 2623.02, Los Angeles County, California",1313,17
6037262303,"Census Tract 2623.03, Los Angeles County, California",1234,53
6037262400,"Census Tract 2624, Los Angeles County, California",1307,19
6037262500,"Census Tract 2625, Los Angeles County, California",1495,25
6037262601,"Census Tract 2626.01, Los Angeles County, California",1325,17
6037262602,"Census Tract 2626.02, Los Angeles County, California",2779,108
6037262701,"Census Tract 2627.01, Los Angeles County, California",1719,46
6037262702,"Census Tract 2627.02, Los Angeles County, California",1425,36
6037262800,"Census Tract 2628, Los Angeles County, California",1638,43
6037264000,"Census Tract 2640, Los Angeles County, California",1372,29
6037264101,"Census Tract 2641.01, Los Angeles County, California",3392,83
6037264301,"Census Tract 2643.01, Los Angeles County, California",3206,85
6037264302,"Census Tract 2643.02, Los Angeles County, California",3086,83
6037265100,"Census Tract 2651, Los Angeles County, California",1283,85
6037265200,"Census Tract 2652, Los Angeles County, California",2586,82
6037265301,"Census Tract 2653.01, Los Angeles County, California",539,35
6037265303,"Census Tract 2653.03, Los Angeles County, California",1495,78
6037265304,"Census Tract 2653.04, Los Angeles County, California",1058,51
6037265305,"Census Tract 2653.05, Los Angeles County, California",1553,94
6037265410,"Census Tract 2654.10, Los Angeles County, California",682,34
6037265420,"Census Tract 2654.20, Los Angeles County, California",746,71
6037265510,"Census Tract 2655.10, Los Angeles County, California",2343,99
6037265520,"Census Tract 2655.20, Los Angeles County, California",2322,113
6037265600,"Census Tract 2656, Los Angeles County, California",3282,96
6037265700,"Census Tract 2657, Los Angeles County, California",2703,66
6037267100,"Census Tract 2671, Los Angeles County, California",3036,100
6037267200,"Census Tract 2672, Los Angeles County, California",2916,103
6037267300,"Census Tract 2673, Los Angeles County, California",2901,105
6037267401,"Census Tract 2674.01, Los Angeles County, California",3864,127
6037267402,"Census Tract 2674.02, Los Angeles County, California",2636,79
6037267501,"Census Tract 2675.01, Los Angeles County, California",2667,93
6037267502,"Census Tract 2675.02, Los Angeles County, California",1629,76
6037267600,"Census Tract 2676, Los Angeles County, California",1260,36
6037267700,"Census Tract 2677, Los Angeles County, California",769,34
6037267800,"Census Tract 2678, Los Angeles County, California",1206,29
6037267900,"Census Tract 2679, Los Angeles County, California",3785,81
6037269000,"Census Tract 2690, Los Angeles County, California",2168,104
6037269100,"Census Tract 2691, Los Angeles County, California",2361,64
6037269300,"Census Tract 2693, Los Angeles County, California",1799,53
6037269500,"Census Tract 2695, Los Angeles County, California",1482,17
6037269600,"Census Tract 2696, Los Angeles County, California",2273,69
6037269700,"Census Tract 2697, Los Angeles County, California",1766,34
6037269800,"Census Tract 2698, Los Angeles County, California",1587,48
6037269901,"Census Tract 2699.01, Los Angeles County, California",4425,92
6037269902,"Census Tract 2699.02, Los Angeles County, California",4000,87
6037270100,"Census Tract 2701, Los Angeles County, California",2597,72
6037270200,"Census Tract 2702, Los Angeles County, California",823,68
6037270300,"Census Tract 2703, Los Angeles County, California",1349,39
6037271100,"Census Tract 2711, Los Angeles County, California",1654,57
6037271200,"Census Tract 2712, Los Angeles County, California",1809,68
6037271300,"Census Tract 2713, Los Angeles County, California",1424,50
6037271400,"Census Tract 2714, Los Angeles County, California",1375,17
6037271500,"Census Tract 2715, Los Angeles County, California",1424,17
6037271600,"Census Tract 2716, Los Angeles County, California",1302,67
6037271701,"Census Tract 2717.01, Los Angeles County, California",2785,55
6037271702,"Census Tract 2717.02, Los Angeles County, California",2053,97
6037271801,"Census Tract 2718.01, Los Angeles County, California",2335,39
6037271802,"Census Tract 2718.02, Los Angeles County, California",2827,48
6037271900,"Census Tract 2719, Los Angeles County, California",2767,31
6037272100,"Census Tract 2721, Los Angeles County, California",1905,23
6037272200,"Census Tract 2722, Los Angeles County, California",2710,89
6037272301,"Census Tract 2723.01, Los Angeles County, California",1431,24
6037272302,"Census Tract 2723.02, Los Angeles County, California",1947,69
6037273100,"Census Tract 2731, Los Angeles County, California",1489,127
6037273200,"Census Tract 2732, Los Angeles County, California",1713,95
6037273300,"Census Tract 2733, Los Angeles County, California",1788,70
6037273400,"Census Tract 2734, Los Angeles County, California",2496,104
6037273500,"Census Tract 2735, Los Angeles County, California",2041,65
6037273600,"Census Tract 2736, Los Angeles County, California",1239,58
6037273700,"Census Tract 2737, Los Angeles County, California",1291,62
6037273800,"Census Tract 2738, Los Angeles County, California",1649,56
6037273900,"Census Tract 2739, Los Angeles County, California",2569,82
6037274100,"Census Tract 2741, Los Angeles County, California",2486,48
6037274200,"Census Tract 2742, Los Angeles County, California",2759,65
6037275100,"Census Tract 2751, Los Angeles County, California",1872,63
6037275200,"Census Tract 2752, Los Angeles County, California",1719,47
6037275302,"Census Tract 2753.02, Los Angeles County, California",2599,122
6037275311,"Census Tract 2753.11, Los Angeles County, California",2317,32
6037275400,"Census Tract 2754, Los Angeles County, California",1173,48
6037275510,"Census Tract 2755.10, Los Angeles County, California",1023,36
6037275520,"Census Tract 2755.20, Los Angeles County, California",689,13
6037275601,"Census Tract 2756.01, Los Angeles County, California",4746,98
6037276000,"Census Tract 2760, Los Angeles County, California",2291,35
6037276100,"Census Tract 2761, Los Angeles County, California",3010,106
6037276400,"Census Tract 2764, Los Angeles County, California",1589,41
6037276500,"Census Tract 2765, Los Angeles County, California",768,84
6037276601,"Census Tract 2766.01, Los Angeles County, California",1630,62
6037276602,"Census Tract 2766.02, Los Angeles County, California",5269,141
6037277000,"Census Tract 2770, Los Angeles County, California",2133,80
6037277100,"Census Tract 2771, Los Angeles County, California",1103,60
6037277200,"Census Tract 2772, Los Angeles County, California",1507,109
6037277400,"Census Tract 2774, Los Angeles County, California",1359,177
6037278000,"Census Tract 2780, Los Angeles County, California",1060,24
6037278100,"Census Tract 2781, Los Angeles County, California",1629,59
6037291110,"Census Tract 2911.10, Los Angeles County, California",1259,44
6037291120,"Census Tract 2911.20, Los Angeles County, California",645,18
6037291130,"Census Tract 2911.30, Los Angeles County, California",1022,18
6037291210,"Census Tract 2912.10, Los Angeles County, California",1516,48
6037291220,"Census Tract 2912.20, Los Angeles County, California",1056,18
6037291300,"Census Tract 2913, Los Angeles County, California",952,51
6037292000,"Census Tract 2920, Los Angeles County, California",1991,61
6037293201,"Census Tract 2932.01, Los Angeles County, California",2193,57
6037293202,"Census Tract 2932.02, Los Angeles County, California",1758,164
6037293301,"Census Tract 2933.01, Los Angeles County, California",1032,26
6037293302,"Census Tract 2933.02, Los Angeles County, California",1522,44
6037293304,"Census Tract 2933.04, Los Angeles County, California",1453,46
6037293305,"Census Tract 2933.05, Los Angeles County, California",1789,41
6037294110,"Census Tract 2941.10, Los Angeles County, California",1111,43
6037294120,"Census Tract 2941.20, Los Angeles County, California",595,36
6037294200,"Census Tract 2942, Los Angeles County, California",1342,46
6037294300,"Census Tract 2943, Los Angeles County, California",2059,36
6037294410,"Census Tract 2944.10, Los Angeles County, California",1575,58
6037294420,"Census Tract 2944.20, Los Angeles County, California",1149,67
6037294510,"Census Tract 2945.10, Los Angeles County, California",1134,51
6037294520,"Census Tract 2945.20, Los Angeles County, California",925,32
6037294610,"Census Tract 2946.10, Los Angeles County, California",1207,27
6037294620,"Census Tract 2946.20, Los Angeles County, California",1114,25
6037294700,"Census Tract 2947, Los Angeles County, California",974,172
6037294810,"Census Tract 2948.10, Los Angeles County, California",1056,28
